"Sample","PC1"
"18227",0.100693630129059
"18233",0.0996098016984057
"18239",0.0975281787960495
"18243",0.0990034038405293
"18256",0.101679120470084
"18257",0.0964456939884447
"18267",0.0829506400575384
"18271",0.098877276891075
"18275",0.103844467726142
"18276",0.0998251339420009
"18278",0.0982064919596426
"18287",0.0917231733137213
"18288",0.102531497412319
"18296",0.092022812539104
"18340",0.10074539931775
"18342",0.0937141643140598
"18354",0.0993885266993168
"18360",0.10107333756482
"18380",0.0960468760283067
"18385",0.101593847548217
"18386",0.0977424987598504
"18410",0.0936563689533696
"18421",0.094162003384716
"18431",0.0987827280494131
"18435",0.0934782463612657
"18438",0.101320965137653
"18447",0.0937217341282672
"18454",0.0926803891790642
"18460",0.100507028997933
"18462",0.0993792804945935
"18466",0.0984041375122845
"18469",0.0985878707889827
"18478",0.0937007358859298
"18479",0.107500659869235
"18483",0.101851673049662
"18485",0.0932059216808769
"18486",0.103105080293479
"18489",0.0960208543690649
"18494-1",0.0954418167861839
"18494-2",0.0962784843625451
"18497",0.104031722599012
"19213",0.0984864928698657
"19214",0.100994311666226
"19217",0.1010513081385
"19218",0.100792934338323
"19257",0.0978279500881925
"19270",0.0983592752993599
"19277",0.103375850462592
"19289-R",0.103506041729666
"19308",0.0979006739751421
"19321-R",0.0993942304092593
"19324",0.096811318335211
"19333",0.0304645154794207
"19351",0.0993391439724772
"19355",0.0961338536133657
"19400",0.0956880606454419
"19429",0.0946524061728632
"19430",0.104189015451632
"19451",0.0983372900568946
"19453-R",0.103167310875871
"19460-R",0.105770806723349
"19474-R",0.0968735481924929
"19477-R",0.0976000153827603
"19481-R",0.103518599993462
"19484",0.096490194285354
"19486",0.100622628692451
"19490",0.0945402612690589
"19495",0.0958187536100226
"19503",0.0952607323043764
"19525",0.0967725679945669
"19541",0.0952576360594485
"19545-R",0.1034427417891
"19547-R",0.0992875428678396
"19550-R",0.0946780043221744
"19570-R",0.10099660752681
"19599-R",0.0928129445394882
"19604",0.0878793051881709
"19607",0.0930481479366891
"19617",0.100805934030465
"19629",0.0964871510526001
"19650",0.0975177363955936
"19683",0.0963331834002347
"19702",0.100030061450871
"19707-R",0.0949531330617997
"19722-R",0.0967093047492001
"19730-R",0.103562886282854
"19741-R",0.105163141725029
"19744-R",0.0985739386683019
"19760",0.0942911200399386
"19772",0.09593777481743
"19795",0.0965740207628281
"219207",-0.0536952994461846
"219218",-0.0570467075967952
"219233",-0.0558691850083912
"219283",-0.054630571723188
"219286",-0.047570315872149
"219297",-0.0516445707960479
"219298",-0.0528220916074933
"219302",-0.0520255693237483
"219348",-0.0518488905100494
"219360",-0.0527567344622356
"219368",-0.0537962538690609
"219374",-0.0489477502967011
"219379",-0.054700802844131
"219384",-0.0531707441649054
"219394",-0.0528942187315619
"219398",-0.0537032166094784
"219416",-0.0514818360388732
"219421",-0.0516270776425459
"219455",-0.0518533049143717
"219459",-0.0530170995173096
"219469",-0.0527246544434338
"219479",-0.0520061480954477
"219485",-0.0510651363143995
"219532",-0.0559254016603127
"219568",-0.0554053251324372
"219583",-0.05510092055597
"219615",-0.0534354957594279
"219616-BU",-0.0526235073086125
"219624",-0.0510359326639853
"219665",-0.049339377481985
"219688",-0.051176658172078
"219707",-0.0512210698964812
"219732",-0.0512577793090367
"219756",-0.0514971754816118
"219782",-0.0586305028923941
"219836",-0.0556629826453472
"219864",-0.0558571082788945
"219895",-0.0558657687130035
"219896",-0.0561065061023351
"221402",0.0985049899124186
"221447",0.0969933033435724
"221453",0.0984016256651356
"221488",0.0948545213834849
"221523",0.0981488262135638
"221541",0.10718308865455
"223011",0.0970219796044456
"223016",0.096203214925146
"223041",0.0980060635876038
"223059",0.104006871919533
"223128",0.0963497961215307
"223143",0.0950922636470435
"223181",0.09664443505491
"223204",0.0993686287327405
"223206",0.0969023337333493
"223261",0.0961023677384087
"223265",0.101400568284876
"223266",0.0948657399016943
"223278",0.100991112031381
"223280",0.103274140315557
"223298",0.10203665591187
"223315",0.0934184286127596
"223320",0.0965147857166672
