fishID,exPlate,exConc,broodID,pop,year,age,dilPlate,dilWell,dilConc,action,subPlate,subWell,volDil,volWater,volExt,volWater
223181,TH-Ext-2023-010,100.15,9107_2021_223181_M,CHILLIWACK_RIVER_fall,2021,3,P1,D11,25.44,as-is,P1,E10,10,0,,
93710,TH-Ext-2023-009,99.38,9105_2020_93710_M,PUNTLEDGE_RIVER_fall,2020,4,P1,E11,25.87,as-is,P1,F10,10,0,,
19795,TH-Ext-2023-007,98.51,9107_2019_19795_M,CHILLIWACK_RIVER_fall,2019,3,P1,F11,24.82,as-is,P1,G10,10,0,,
240115,TH-Ext-2023-011,98.27,9105_2021_240115_M,PUNTLEDGE_RIVER_fall,2021,3,P1,G11,27.35,as-is,P1,H10,10,0,,
240005,TH-Ext-2023-010,98.17,9105_2021_240005_M,PUNTLEDGE_RIVER_fall,2021,3,P1,H11,25.89,as-is,P1,A11,10,0,,
223734,TH-Ext-2023-010,97.83,9107_2021_223734_M,CHILLIWACK_RIVER_fall,2021,4,P1,A12,22.67,as-is,P1,B11,10,0,,
15925,TH-Ext-2023-008,97.79,100_2019_15925_M,QUALICUM_RIVER,2019,2,P1,B12,23.31,as-is,P1,C11,10,0,,
240230,TH-Ext-2023-011,97.74,9105_2021_240230_M,PUNTLEDGE_RIVER_fall,2021,2,P1,C12,26.83,as-is,P1,D11,10,0,,
240295,TH-Ext-2023-011,97.62,9105_2021_240295_M,PUNTLEDGE_RIVER_fall,2021,4,P1,E12,26.01,as-is,P1,E11,10,0,,
219368,TH-Ext-2023-011,97.36,100_2021_219368_M,QUALICUM_RIVER,2021,4,P1,F12,24.61,as-is,P1,F11,10,0,,
219532,TH-Ext-2023-011,97.23,100_2021_219532_M,QUALICUM_RIVER,2021,4,P1,G12,26.9,as-is,P1,G11,10,0,,
71018,TH-Ext-2023-010,96.43,100_2020_71018_M,QUALICUM_RIVER,2020,3,P1,H12,27.47,as-is,P1,H11,10,0,,
18288,TH-Ext-2023-006,96.42,9107_2018_18288_M,CHILLIWACK_RIVER_fall,2018,3,P2,A1,23.36,as-is,P1,A12,10,0,,
5724,TH-Ext-2023-006,95.73,100_2018_5724_M,QUALICUM_RIVER,2018,4,P2,C1,23.33,as-is,P1,B12,10,0,,
71135,TH-Ext-2023-010,95.38,100_2020_71135_M,QUALICUM_RIVER,2020,3,P2,D1,25.25,as-is,P1,C12,10,0,,
223818,TH-Ext-2023-010,95.36,9107_2021_223818_M,CHILLIWACK_RIVER_fall,2021,2,P2,E1,25.19,as-is,P1,D12,10,0,,
71437,TH-Ext-2023-010,94.48,100_2020_71437_M,QUALICUM_RIVER,2020,3,P2,G1,28.57,as-is,P1,E12,10,0,,
240380,TH-Ext-2023-011,94.23,9105_2021_240380_M,PUNTLEDGE_RIVER_fall,2021,3,P2,H1,25.14,as-is,P1,F12,10,0,,
