"fishID","pop","year","age","name","haplotype"
"1398","PUNTLEDGE_RIVER_fall",2018,2,"Hap1","1"
"1398","PUNTLEDGE_RIVER_fall",2018,2,"Hap2","2"
"15404","QUALICUM_RIVER",2019,4,"Hap1","2"
"15404","QUALICUM_RIVER",2019,4,"Hap2","1"
"15436","QUALICUM_RIVER",2019,2,"Hap1","3"
"15436","QUALICUM_RIVER",2019,2,"Hap2","2"
"15451","QUALICUM_RIVER",2019,4,"Hap1","2"
"15451","QUALICUM_RIVER",2019,4,"Hap2","1"
"15453","QUALICUM_RIVER",2019,2,"Hap1","3"
"15453","QUALICUM_RIVER",2019,2,"Hap2","2"
"15468","QUALICUM_RIVER",2019,2,"Hap1","2"
"15468","QUALICUM_RIVER",2019,2,"Hap2","2"
"15474","QUALICUM_RIVER",2019,3,"Hap1","3"
"15474","QUALICUM_RIVER",2019,3,"Hap2","2"
"15501","QUALICUM_RIVER",2019,3,"Hap1","2"
"15501","QUALICUM_RIVER",2019,3,"Hap2","3"
"15517","QUALICUM_RIVER",2019,2,"Hap1","2"
"15517","QUALICUM_RIVER",2019,2,"Hap2","2"
"15530","QUALICUM_RIVER",2019,4,"Hap1","2"
"15530","QUALICUM_RIVER",2019,4,"Hap2","2"
"15538","QUALICUM_RIVER",2019,3,"Hap1","2"
"15538","QUALICUM_RIVER",2019,3,"Hap2","3"
"15543","QUALICUM_RIVER",2019,3,"Hap1","3"
"15543","QUALICUM_RIVER",2019,3,"Hap2","2"
"15547","QUALICUM_RIVER",2019,4,"Hap1","2"
"15547","QUALICUM_RIVER",2019,4,"Hap2","2"
"15559","QUALICUM_RIVER",2019,3,"Hap1","2"
"15559","QUALICUM_RIVER",2019,3,"Hap2","4"
"15563","QUALICUM_RIVER",2019,3,"Hap1","2"
"15563","QUALICUM_RIVER",2019,3,"Hap2","2"
"15614","QUALICUM_RIVER",2019,4,"Hap1","3"
"15614","QUALICUM_RIVER",2019,4,"Hap2","2"
"15649","QUALICUM_RIVER",2019,2,"Hap1","2"
"15649","QUALICUM_RIVER",2019,2,"Hap2","4"
"15652","QUALICUM_RIVER",2019,4,"Hap1","2"
"15652","QUALICUM_RIVER",2019,4,"Hap2","3"
"15658","QUALICUM_RIVER",2019,2,"Hap1","2"
"15658","QUALICUM_RIVER",2019,2,"Hap2","3"
"15659","QUALICUM_RIVER",2019,3,"Hap1","3"
"15659","QUALICUM_RIVER",2019,3,"Hap2","2"
"15686","QUALICUM_RIVER",2019,3,"Hap1","2"
"15686","QUALICUM_RIVER",2019,3,"Hap2","2"
"15696","QUALICUM_RIVER",2019,4,"Hap1","1"
"15696","QUALICUM_RIVER",2019,4,"Hap2","2"
"15754","QUALICUM_RIVER",2019,2,"Hap1","3"
"15754","QUALICUM_RIVER",2019,2,"Hap2","2"
"15796","QUALICUM_RIVER",2019,2,"Hap1","2"
"15796","QUALICUM_RIVER",2019,2,"Hap2","3"
"15829","QUALICUM_RIVER",2019,3,"Hap1","2"
"15829","QUALICUM_RIVER",2019,3,"Hap2","3"
"15848","QUALICUM_RIVER",2019,4,"Hap1","2"
"15848","QUALICUM_RIVER",2019,4,"Hap2","2"
"15887","QUALICUM_RIVER",2019,4,"Hap1","3"
"15887","QUALICUM_RIVER",2019,4,"Hap2","2"
"15925","QUALICUM_RIVER",2019,2,"Hap1","2"
"15925","QUALICUM_RIVER",2019,2,"Hap2","3"
"15935","QUALICUM_RIVER",2019,2,"Hap1","2"
"15935","QUALICUM_RIVER",2019,2,"Hap2","2"
"15938","QUALICUM_RIVER",2019,4,"Hap1","2"
"15938","QUALICUM_RIVER",2019,4,"Hap2","2"
"15939","QUALICUM_RIVER",2019,4,"Hap1","3"
"15939","QUALICUM_RIVER",2019,4,"Hap2","2"
"15944","QUALICUM_RIVER",2019,4,"Hap1","3"
"15944","QUALICUM_RIVER",2019,4,"Hap2","2"
"16040","QUALICUM_RIVER",2019,3,"Hap1","2"
"16040","QUALICUM_RIVER",2019,3,"Hap2","2"
"16305","QUALICUM_RIVER",2019,4,"Hap1","2"
"16305","QUALICUM_RIVER",2019,4,"Hap2","2"
"16311","QUALICUM_RIVER",2019,4,"Hap1","2"
"16311","QUALICUM_RIVER",2019,4,"Hap2","2"
"16312","QUALICUM_RIVER",2019,4,"Hap1","2"
"16312","QUALICUM_RIVER",2019,4,"Hap2","2"
"16332","QUALICUM_RIVER",2019,4,"Hap1","2"
"16332","QUALICUM_RIVER",2019,4,"Hap2","2"
"16342","QUALICUM_RIVER",2019,4,"Hap1","2"
"16342","QUALICUM_RIVER",2019,4,"Hap2","2"
"16350","QUALICUM_RIVER",2019,5,"Hap1","2"
"16350","QUALICUM_RIVER",2019,5,"Hap2","2"
"16352","QUALICUM_RIVER",2019,3,"Hap1","2"
"16352","QUALICUM_RIVER",2019,3,"Hap2","2"
"16406","QUALICUM_RIVER",2019,3,"Hap1","2"
"16406","QUALICUM_RIVER",2019,3,"Hap2","2"
"16415","QUALICUM_RIVER",2019,4,"Hap1","2"
"16415","QUALICUM_RIVER",2019,4,"Hap2","2"
"16424","QUALICUM_RIVER",2019,4,"Hap1","3"
"16424","QUALICUM_RIVER",2019,4,"Hap2","2"
"16452","QUALICUM_RIVER",2019,4,"Hap1","2"
"16452","QUALICUM_RIVER",2019,4,"Hap2","2"
"16454","QUALICUM_RIVER",2019,2,"Hap1","2"
"16454","QUALICUM_RIVER",2019,2,"Hap2","3"
"16456","QUALICUM_RIVER",2019,2,"Hap1","2"
"16456","QUALICUM_RIVER",2019,2,"Hap2","1"
"16472","QUALICUM_RIVER",2019,2,"Hap1","2"
"16472","QUALICUM_RIVER",2019,2,"Hap2","2"
"16481","QUALICUM_RIVER",2019,4,"Hap1","3"
"16481","QUALICUM_RIVER",2019,4,"Hap2","2"
"16701","QUALICUM_RIVER",2019,3,"Hap1","3"
"16701","QUALICUM_RIVER",2019,3,"Hap2","2"
"16707","QUALICUM_RIVER",2019,2,"Hap1","2"
"16707","QUALICUM_RIVER",2019,2,"Hap2","2"
"18102","CHILLIWACK_RIVER_fall",2017,3,"Hap1","4"
"18102","CHILLIWACK_RIVER_fall",2017,3,"Hap2","4"
"18111","CHILLIWACK_RIVER_fall",2017,4,"Hap1","4"
"18111","CHILLIWACK_RIVER_fall",2017,4,"Hap2","4"
"18117","CHILLIWACK_RIVER_fall",2018,4,"Hap1","4"
"18117","CHILLIWACK_RIVER_fall",2018,4,"Hap2","2"
"18125","CHILLIWACK_RIVER_fall",2017,3,"Hap1","4"
"18125","CHILLIWACK_RIVER_fall",2017,3,"Hap2","4"
"18127","CHILLIWACK_RIVER_fall",2017,3,"Hap1","3"
"18127","CHILLIWACK_RIVER_fall",2017,3,"Hap2","4"
"18136","CHILLIWACK_RIVER_fall",2017,4,"Hap1","4"
"18136","CHILLIWACK_RIVER_fall",2017,4,"Hap2","5"
"18147","CHILLIWACK_RIVER_fall",2018,3,"Hap1","5"
"18147","CHILLIWACK_RIVER_fall",2018,3,"Hap2","4"
"18159","CHILLIWACK_RIVER_fall",2017,3,"Hap1","4"
"18159","CHILLIWACK_RIVER_fall",2017,3,"Hap2","5"
"18164","CHILLIWACK_RIVER_fall",2018,3,"Hap1","5"
"18164","CHILLIWACK_RIVER_fall",2018,3,"Hap2","4"
"18201","CHILLIWACK_RIVER_fall",2018,3,"Hap1","6"
"18201","CHILLIWACK_RIVER_fall",2018,3,"Hap2","4"
"18202","CHILLIWACK_RIVER_fall",2017,4,"Hap1","4"
"18202","CHILLIWACK_RIVER_fall",2017,4,"Hap2","5"
"18209","CHILLIWACK_RIVER_fall",2017,3,"Hap1","4"
"18209","CHILLIWACK_RIVER_fall",2017,3,"Hap2","6"
"18224","CHILLIWACK_RIVER_fall",2018,2,"Hap1","4"
"18224","CHILLIWACK_RIVER_fall",2018,2,"Hap2","4"
"18227","CHILLIWACK_RIVER_fall",2017,4,"Hap1","4"
"18227","CHILLIWACK_RIVER_fall",2017,4,"Hap2","6"
"18233","CHILLIWACK_RIVER_fall",2018,4,"Hap1","6"
"18233","CHILLIWACK_RIVER_fall",2018,4,"Hap2","4"
"18239","CHILLIWACK_RIVER_fall",2018,4,"Hap1","4"
"18239","CHILLIWACK_RIVER_fall",2018,4,"Hap2","3"
"18243","CHILLIWACK_RIVER_fall",2018,2,"Hap1","4"
"18243","CHILLIWACK_RIVER_fall",2018,2,"Hap2","4"
"18256","CHILLIWACK_RIVER_fall",2018,3,"Hap1","4"
"18256","CHILLIWACK_RIVER_fall",2018,3,"Hap2","5"
"18257","CHILLIWACK_RIVER_fall",2017,4,"Hap1","6"
"18257","CHILLIWACK_RIVER_fall",2017,4,"Hap2","4"
"18267","CHILLIWACK_RIVER_fall",2018,3,"Hap1","4"
